"probe_id","chr","pos","UCSC_RefGene_Name","Relation_to_Island","array"
"cg12825509","chr3",185648568,"TRA2B","OpenSea","450K"
"cg10439456","chr15",45028270,"TRIM69;TRIM69","OpenSea","450K"
"cg08003956","chr17",21911491,"FLJ36000","OpenSea","450K"
"cg04011173","chr3",10326540,"GHRLOS;GHRLOS;C3orf42;GHRLOS;GHRLOS","OpenSea","450K"
"cg08173263","chr19",14276911,"LPHN1;LPHN1","S_Shelf","450K"
"cg27118231","chr7",155794386,"","OpenSea","450K"
"cg03759239","chr1",192626671,"RGS13;RGS13","OpenSea","450K"
"cg02014217","chr4",1015600,"FGFRL1;FGFRL1;FGFRL1","N_Shore","450K"
"cg18854004","chr2",8444004,"","OpenSea","450K"
"cg12710152","chr1",32716773,"LCK","S_Shelf","450K"
"cg22488164","chr12",14716910,"PLBD1","N_Shelf","450K"
"cg08894761","chr2",31806234,"SRD5A2","Island","450K"
"cg06469895","chr16",69418206,"TERF2","N_Shore","450K"
"cg16204414","chr3",10325494,"C3orf42","OpenSea","450K"
"cg12275868","chr11",14996956,"","S_Shore","450K"
"cg25904183","chr4",165877875,"C4orf39;TRIM61","N_Shore","450K"
"cg03297042","chr22",29468762,"KREMEN1;KREMEN1","Island","450K"
"cg11851174","chr17",17712609,"RAI1","N_Shore","450K"
"cg23413278","chr22",40052452,"CACNA1I;CACNA1I","OpenSea","450K"
"cg04062510","chr5",121648346,"SNCAIP","Island","450K"
"cg06829584","chr10",75659483,"","OpenSea","450K"
"cg25197194","chr3",128758787,"CCDC48","OpenSea","450K"
"cg22267770","chr6",10422139,"","N_Shore","450K"
"cg22202121","chr6",87866253,"ZNF292","S_Shore","450K"
"cg02380750","chr20",61661411,"","S_Shore","450K"
"cg03651292","chr18",14999803,"","Island","450K"
"cg04374006","chr19",33556395,"RHPN2","Island","450K"
"cg02402946","chr13",21035079,"CRYL1","OpenSea","450K"
"cg15567340","chr20",61975937,"CHRNA4","S_Shore","450K"
"cg27615582","chr12",11002411,"PRR4;PRR4","OpenSea","450K"
"cg03092399","chr11",108149307,"ATM","OpenSea","450K"
"cg02910793","chr8",11421934,"BLK","Island","450K"
"cg27020362","chr5",138723394,"MGC29506","OpenSea","450K"
"cg04794662","chr3",71178485,"FOXP1","OpenSea","450K"
"cg10405604","chr15",101390259,"","Island","450K"
"cg00604410","chr15",67417899,"SMAD3;SMAD3","OpenSea","450K"
"cg16968514","chr6",33232604,"VPS52","OpenSea","450K"
"cg12386646","chr15",41787261,"ITPKA","Island","450K"
"cg08183577","chr10",69609793,"","S_Shore","450K"
"cg25410785","chr5",3597760,"IRX1","Island","450K"
"cg04633683","chr16",29837056,"MVP;MVP","OpenSea","450K"
"cg10500283","chr1",7913081,"UTS2;UTS2;UTS2","OpenSea","450K"
"cg17901584","chr1",55353706,"DHCR24","S_Shore","450K"
"cg07181754","chr2",112896214,"FBLN7;FBLN7;FBLN7;FBLN7","Island","450K"
"cg03387723","chr1",41708464,"SCMH1","S_Shore","450K"
"cg27558387","chr3",156966620,"","OpenSea","450K"
"cg07157834","chr1",205819609,"PM20D1","S_Shore","450K"
"cg08576184","chr6",151814892,"C6orf97","N_Shore","450K"
"cg06824394","chr7",86846535,"C7orf23","N_Shelf","450K"
"cg07449753","chr7",83057120,"SEMA3E","OpenSea","450K"
"cg03480935","chr15",67417860,"SMAD3;SMAD3","OpenSea","450K"
"cg00377924","chr3",107535430,"","OpenSea","450K"
"cg11429044","chr19",13947473,"MIR23A;MIR27A;MIR24-2","S_Shelf","450K"
"cg22814961","chr2",200335683,"FLJ32063","Island","450K"
"cg20389635","chr12",28120054,"PTHLH;PTHLH;PTHLH;PTHLH","N_Shelf","450K"
"cg23435915","chr5",43044640,"LOC153684","S_Shore","450K"
"cg08133755","chr11",19792080,"NAV2;NAV2;NAV2","OpenSea","450K"
"cg00799539","chr12",103353183,"ASCL1","S_Shore","450K"
"cg01651378","chr13",50421918,"","N_Shore","450K"
"cg19862899","chr10",82173556,"C10orf58;C10orf58","OpenSea","450K"
"cg21594961","chr3",3152916,"IL5RA;IL5RA;IL5RA;IL5RA;IL5RA;IL5RA","OpenSea","450K"
"cg07974833","chr4",73430160,"ADAMTS3","N_Shelf","450K"
"cg04514998","chr11",108680123,"DDX10","OpenSea","450K"
"cg21204965","chr1",34098656,"CSMD2","N_Shore","450K"
"cg27088726","chr16",83171155,"CDH13","OpenSea","450K"
"cg23409699","chr11",368565,"B4GALNT4","OpenSea","450K"
"cg23841608","chr2",131676293,"ARHGEF4;ARHGEF4","S_Shelf","450K"
"cg11087128","chr2",38693029,"","OpenSea","450K"
"cg16260349","chr10",82221597,"TSPAN14;TSPAN14","OpenSea","450K"
"cg15561453","chr3",47459664,"SCAP","Island","450K"
"cg14582100","chr15",45693742,"SPATA5L1;SPATA5L1","N_Shore","450K"
"cg15579696","chr1",2822706,"","OpenSea","450K"
"cg20505728","chr3",43800538,"","OpenSea","450K"
"cg06212224","chr2",175198768,"SP9","N_Shore","450K"
"cg14081226","chr10",5563419,"","N_Shelf","450K"
"cg20980271","chr1",109506696,"CLCC1;CLCC1","S_Shore","450K"
"cg08767627","chr4",164252263,"NPY1R","N_Shore","450K"
"cg02882504","chr16",3236323,"","N_Shelf","450K"
"cg17344813","chr21",46912545,"COL18A1;COL18A1;COL18A1","Island","450K"
"cg16450677","chr2",70312492,"","N_Shore","450K"
"cg15923350","chr1",163038703,"RGS4;RGS4;RGS4;RGS4","OpenSea","450K"
"cg07416344","chr13",114872599,"RASA3","N_Shelf","450K"
"cg07333545","chr6",52170606,"","N_Shore","450K"
"cg18290190","chr17",171257,"RPH3AL","Island","450K"
"cg00956987","chr2",32757307,"BIRC6;MIR558","OpenSea","450K"
"cg03517919","chr1",10398268,"KIF1B","OpenSea","450K"
"cg04590384","chr13",114847781,"RASA3","N_Shore","450K"
"cg07229212","chr8",11056726,"XKR6","N_Shore","450K"
"cg06458086","chr6",131162400,"EPB41L2;EPB41L2;EPB41L2","OpenSea","450K"
"cg24494617","chr8",22735388,"PEBP4","OpenSea","450K"
"cg07814318","chr15",31624584,"KLF13","S_Shelf","450K"
"cg26821196","chr15",91095069,"CRTC3;CRTC3","OpenSea","450K"
"cg27291231","chr9",140081916,"ANAPC2;SSNA1","N_Shore","450K"
"cg06690548","chr4",139162808,"SLC7A11","OpenSea","450K"
"cg00411413","chr16",83171299,"CDH13","OpenSea","450K"
"cg04051152","chr12",12418005,"LRP6","N_Shore","450K"
"cg25711963","chr7",4242866,"SDK1;SDK1","OpenSea","450K"
"cg20646782","chr11",115631600,"","S_Shore","450K"
"cg24136700","chr17",17696044,"RAI1","N_Shore","450K"
"cg11826008","chr20",34249284,"CPNE1;CPNE1;CPNE1;CPNE1;CPNE1;RBM12;CPNE1;CPNE1;RBM12","N_Shelf","450K"
"cg25220979","chr17",47092272,"IGF2BP1;IGF2BP1","S_Shore","450K"
"cg19303125","chr6",108437116,"","N_Shore","450K"
"cg10785793","chr1",207392261,"","OpenSea","450K"
"cg04353106","chr1",163136667,"RGS5","OpenSea","450K"
"cg12332524","chr11",45733155,"","OpenSea","450K"
"cg19478079","chr17",79453653,"","N_Shore","450K"
"cg25600472","chr5",140857647,"PCDHGA4;PCDHGA12;PCDHGA11;PCDHGA11;PCDHGA9;PCDHGA1;PCDHGB1;PCDHGB6;PCDHGC3;PCDHGB3;PCDHGB7;PCDHGA6;PCDHGA8;PCDHGA10;PCDHGA5;PCDHGB4;PCDHGA3;PCDHGA2;PCDHGA7;PCDHGB2;PCDHGB5;PCDHGC3;PCDHGC3","N_Shore","450K"
"cg25597117","chr1",161349116,"","OpenSea","450K"
"cg22824895","chr15",59279497,"RNF111","N_Shore","450K"
"cg19097500","chr1",61542329,"NFIA","N_Shore","450K"
"cg24372256","chr21",43528868,"UMODL1;UMODL1;C21orf128","S_Shelf","450K"
"cg00977696","chr8",144854517,"","Island","450K"
"cg16780603","chr2",169659047,"NOSTRIN;NOSTRIN;NOSTRIN;NOSTRIN","OpenSea","450K"
"cg25215890","chr1",160651452,"CD48","OpenSea","450K"
"cg01563465","chr5",72512441,"","Island","450K"
"cg07007382","chr6",32578070,"","OpenSea","450K"
"cg02578470","chr3",127320670,"MCM2","N_Shelf","450K"
"cg03044573","chr1",173835265,"GAS5;SNORD78;SNORD44;SNORD80;SNORD79","N_Shore","450K"
"cg01456609","chr16",25700781,"","N_Shelf","450K"
"cg09278098","chr12",84902512,"","OpenSea","450K"
"cg11891377","chr11",554714,"LRRC56","Island","450K"
"cg04354002","chr17",8777762,"","OpenSea","450K"
"cg10886095","chr12",119935697,"CCDC60","OpenSea","450K"
"cg07945582","chr7",26206579,"NFE2L3","OpenSea","450K"
"cg00533364","chr19",54023893,"ZNF331","Island","450K"
"cg23263057","chr20",62949372,"","S_Shore","450K"
"cg18917643","chr5",39476124,"","OpenSea","450K"
"cg02764478","chr6",100904316,"SIM1","N_Shore","450K"
"cg16535752","chr17",57448097,"YPEL2","OpenSea","450K"
"cg06395298","chr17",46651225,"HOXB3;HOXB3","N_Shelf","450K"
"cg07504977","chr10",102131012,"","N_Shelf","450K"
"cg00105640","chr1",3691994,"LOC388588","S_Shelf","450K"
"cg20784813","chr1",21999106,"","S_Shelf","450K"
"cg14264795","chr12",114845180,"TBX5;TBX5;TBX5","N_Shore","450K"
"cg10005565","chr2",235578952,"","OpenSea","450K"
"cg21523688","chr15",45319037,"SORD","S_Shelf","450K"
"cg18034719","chr5",176860863,"GRK6;GRK6;GRK6","Island","450K"
"cg26365742","chr7",87503866,"SLC25A40","N_Shore","450K"
"cg09310185","chr20",61866960,"BIRC7;BIRC7","N_Shelf","450K"
"cg16032621","chr8",119916546,"","OpenSea","450K"
"cg01253818","chr4",6379482,"PPP2R2C;PPP2R2C","N_Shore","450K"
"cg15117681","chr17",80202426,"CSNK1D;CSNK1D","N_Shore","450K"
"cg01781662","chr9",132387805,"METTL11A","N_Shore","450K"
"cg14400871","chr16",75018461,"WDR59","Island","450K"
"cg08744475","chr6",35417568,"","N_Shelf","450K"
"cg08655800","chr1",109735314,"KIAA1324","OpenSea","450K"
"cg06885459","chr13",113689728,"MCF2L;MCF2L","S_Shore","450K"
"cg13689996","chr17",71810497,"C17orf54","OpenSea","450K"
"cg05820959","chr7",151248135,"","OpenSea","450K"
"cg25131544","chr1",62107624,"","OpenSea","450K"
"cg14887142","chr14",22191761,"","OpenSea","450K"
"cg11589723","chr19",48205483,"GLTSCR1","Island","450K"
"cg11152412","chr15",74927688,"EDC3;EDC3;EDC3","OpenSea","450K"
"cg23686174","chr18",61637128,"SERPINB8;SERPINB8;SERPINB8","N_Shore","450K"
