,Raw Sites,Unique sites,Chromosome,Base Pair,Gene
,cg13221899,cg13221899,,,
,cg15151929,cg15151929,,,
,cg14709691,cg14709691,,,
,cg13250745,cg13250745,,,
,cg05635218,cg05635218,,,
,cg13498289,cg13498289,,,
,cg01651570,cg01651570,,,
,cg02518691,cg02518691,,,
,cg02231404,cg02231404,,,
,cg10474597,cg10474597,,,
,cg02734891,cg02734891,,,
,cg20003494,cg20003494,,,
,cg15491131,cg15491131,,,
,cg19033444,cg19033444,,,
,cg11416095,cg11416095,,,
,cg03234813,cg03234813,,,
,cg02018277,cg02018277,,,
,cg09691340,cg09691340,,,
,cg05181941,cg05181941,,,
,cg16340422,cg16340422,,,
,cg07599786,cg07599786,,,
,cg24996930,cg24996930,,,
,cg03128167,cg03128167,,,
,cg11613559,cg11613559,,,
,cg16111924,cg16111924,,,
,cg12294361,cg12294361,,,
,cg14944647,cg14944647,,,
,cg13808936,cg13808936,,,
,cg06186727,cg06186727,,,
,cg02750954,cg02750954,,,
,cg17035899,cg17035899,,,
,cg11652668,cg11652668,,,
,cg23014425,cg23014425,,,
,cg19828022,cg19828022,,,
,cg26861732,cg26861732,,,
,cg16917837,cg16917837,,,
,cg02542704,cg02542704,,,
,cg10140190,cg10140190,,,
,cg02524941,cg02524941,,,
,cg23347301,cg23347301,,,
,cg02687055,cg02687055,,,
,cg15043384,cg15043384,,,
,cg21261158,cg21261158,,,
,cg26416159,cg26416159,,,
,cg18877969,cg18877969,,,
,cg09757588,cg09757588,,,
,cg10723962,cg10723962,,,
,cg19973659,cg19973659,,,
,cg09965557,cg09965557,,,
,cg24673768,cg24673768,,,
,cg06447614,cg06447614,,,
,cg00309462,cg00309462,,,
,cg18349022,cg18349022,,,
,cg08920252,cg08920252,,,
,cg23635910,cg23635910,,,
,cg04873098,cg04873098,,,
,cg22451356,cg22451356,,,
,cg26988138,cg26988138,,,
,cg05121790,cg05121790,,,
,cg03497652,cg03497652,,,
,cg07315426,cg07315426,,,
,cg07126263,cg07126263,,,
,cg16139202,cg16139202,,,
,cg08860070,cg08860070,,,
,cg14067419,cg14067419,,,
,cg11966583,cg11966583,,,
,cg07021906,cg07021906,,,
,cg26490671,cg26490671,,,
,cg25011368,cg25011368,,,
,cg01495174,cg01495174,,,
,cg08036333,cg08036333,,,
,cg14950134,cg14950134,,,
,cg22651787,cg22651787,,,
,cg04546097,cg04546097,,,
,cg03513893,cg03513893,,,
,cg04021497,cg04021497,,,
,cg06898549,cg06898549,,,
,cg01760756,cg01760756,,,
,cg23117796,cg23117796,,,
,cg03339609,cg03339609,,,
,cg06894612,cg06894612,,,
,cg07226484,cg07226484,,,
,cg08625564,cg08625564,,,
,cg22659356,cg22659356,,,
,cg12605080,cg12605080,,,
,cg24935409,cg24935409,,,
,cg24451117,cg24451117,,,
,cg08898775,cg08898775,,,
,cg23998071,cg23998071,,,
,cg19905213,cg19905213,,,
,cg14986464,cg14986464,,,
,cg20625334,cg20625334,,,
,cg09835543,cg09835543,,,
,cg14057041,cg14057041,,,
,cg26856289,cg26856289,,,
,cg16834011,cg16834011,,,
,cg23510764,cg23510764,,,
,cg15705813,cg15705813,,,
,cg20485607,cg20485607,,,
,cg00083206,cg00083206,,,
,cg23559053,cg23559053,,,
,cg13310971,cg13310971,,,
,cg11290998,cg11290998,,,
,cg15221739,cg15221739,,,
,cg02795334,cg02795334,,,
,cg17312632,cg17312632,,,
,cg18687085,cg18687085,,,
,cg02058483,cg02058483,,,
,cg00250430,cg00250430,,,
,cg07714319,cg07714319,,,
,cg22345519,cg22345519,,,
,cg25661884,cg25661884,,,
,cg24751538,cg24751538,,,
,cg11927233,cg11927233,,,
,cg05363081,cg05363081,,,
,cg00237825,cg00237825,,,
,cg15537269,cg15537269,,,
,cg18147098,cg18147098,,,
,cg20668221,cg20668221,,,
,cg22850925,cg22850925,,,
,cg09249494,cg09249494,,,
,cg10236261,cg10236261,,,
,cg12678695,cg12678695,,,
,cg27526518,cg27526518,,,
,cg00369376,cg00369376,,,
,cg11374227,cg11374227,,,
,cg05864010,cg05864010,,,
,cg19090437,cg19090437,,,
,cg08995061,cg08995061,,,
,cg11596239,cg11596239,,,
,cg12185873,cg12185873,,,
,cg05955210,cg05955210,,,
,cg11363234,cg11363234,,,
,cg00883689,cg00883689,,,
,cg05339727,cg05339727,,,
,cg14685849,cg14685849,,,
,cg08874888,cg08874888,,,
,cg07002832,cg07002832,,,
,cg22197830,cg22197830,,,
,cg13110283,cg13110283,,,
,cg22370920,cg22370920,,,
,cg03037620,cg03037620,,,
,cg16163535,cg16163535,,,
,cg25381253,cg25381253,,,
,cg06181187,cg06181187,,,
,cg27227797,cg27227797,,,
,cg23574427,cg23574427,,,
,cg10084554,cg10084554,,,
,cg01965462,cg01965462,,,
,cg20589883,cg20589883,,,
,cg06781608,cg06781608,,,
,cg02462396,cg02462396,,,
,cg27656459,cg27656459,,,
,cg16700555,cg16700555,,,
,cg23873448,cg23873448,,,
,cg11007110,cg11007110,,,
,cg21668832,cg21668832,,,
,cg03517837,cg03517837,,,
,cg13162690,cg13162690,,,
,cg18483487,cg18483487,,,
,cg04685570,cg04685570,,,
,cg11237406,cg11237406,,,
,cg20522675,cg20522675,,,
,cg05131488,cg05131488,,,
,cg22629375,cg22629375,,,
,cg06808585,cg06808585,,,
,cg12754982,cg12754982,,,
,cg18817318,cg18817318,,,
,cg10680180,cg10680180,,,
,cg03019986,cg03019986,,,
,cg09981830,cg09981830,,,
,cg11868634,cg11868634,,,
,cg04654118,cg04654118,,,
,cg10589848,cg10589848,,,
,cg24389034,cg24389034,,,
,cg04450003,cg04450003,,,
,cg03392571,cg03392571,,,
,cg04803944,cg04803944,,,
,cg08930413,cg08930413,,,
,cg13139542,cg13139542,,,
,cg22796265,cg22796265,,,
,cg12825509,cg12825509,,,
,cg10439456,cg10439456,,,
,cg08003956,cg08003956,,,
,cg04011173,cg04011173,,,
,cg08173263,cg08173263,,,
,cg27118231,cg27118231,,,
,cg03759239,cg03759239,,,
,cg02014217,cg02014217,,,
,cg18854004,cg18854004,,,
,cg12710152,cg12710152,,,
,cg22488164,cg22488164,,,
,cg08894761,cg08894761,,,
,cg06469895,cg06469895,,,
,cg16204414,cg16204414,,,
,cg12275868,cg12275868,,,
,cg25904183,cg25904183,,,
,cg03297042,cg03297042,,,
,cg11851174,cg11851174,,,
,cg23413278,cg23413278,,,
,cg04062510,cg04062510,,,
,cg06829584,cg06829584,,,
,cg25197194,cg25197194,,,
,cg22267770,cg22267770,,,
,cg22202121,cg22202121,,,
,cg02380750,cg02380750,,,
,cg03651292,cg03651292,,,
,cg04374006,cg04374006,,,
,cg02402946,cg02402946,,,
,cg15567340,cg15567340,,,
,cg27615582,cg27615582,,,
,cg03092399,cg03092399,,,
,cg02910793,cg02910793,,,
,cg27020362,cg27020362,,,
,cg04794662,cg04794662,,,
,cg10405604,cg10405604,,,
,cg00604410,cg00604410,,,
,cg16968514,cg16968514,,,
,cg12386646,cg12386646,,,
,cg08183577,cg08183577,,,
,cg25410785,cg25410785,,,
,cg04633683,cg04633683,,,
,cg10500283,cg10500283,,,
,cg17901584,cg17901584,,,
,cg07181754,cg07181754,,,
,cg03387723,cg03387723,,,
,cg27558387,cg27558387,,,
,cg07157834,cg07157834,,,
,cg08576184,cg08576184,,,
,cg06824394,cg06824394,,,
,cg07449753,cg07449753,,,
,cg03480935,cg03480935,,,
,cg00377924,cg00377924,,,
,cg11429044,cg11429044,,,
,cg22814961,cg22814961,,,
,cg20389635,cg20389635,,,
,cg23435915,cg23435915,,,
,cg08133755,cg08133755,,,
,cg00799539,cg00799539,,,
,cg01651378,cg01651378,,,
,cg19862899,cg19862899,,,
,cg21594961,cg21594961,,,
,cg07974833,cg07974833,,,
,cg04514998,cg04514998,,,
,cg21204965,cg21204965,,,
,cg27088726,cg27088726,,,
,cg23409699,cg23409699,,,
,cg23841608,cg23841608,,,
,cg11087128,cg11087128,,,
,cg16260349,cg16260349,,,
,cg15561453,cg15561453,,,
,cg14582100,cg14582100,,,
,cg15579696,cg15579696,,,
,cg20505728,cg20505728,,,
,cg06212224,cg06212224,,,
,cg14081226,cg14081226,,,
,cg20980271,cg20980271,,,
,cg08767627,cg08767627,,,
,cg02882504,cg02882504,,,
,cg17344813,cg17344813,,,
,cg16450677,cg16450677,,,
,cg15923350,cg15923350,,,
,cg07416344,cg07416344,,,
,cg07333545,cg07333545,,,
,cg18290190,cg18290190,,,
,cg00956987,cg00956987,,,
,cg03517919,cg03517919,,,
,cg04590384,cg04590384,,,
,cg07229212,cg07229212,,,
,cg06458086,cg06458086,,,
,cg24494617,cg24494617,,,
,cg07814318,cg07814318,,,
,cg26821196,cg26821196,,,
,cg27291231,cg27291231,,,
,cg06690548,cg06690548,,,
,cg00411413,cg00411413,,,
,cg04051152,cg04051152,,,
,cg25711963,cg25711963,,,
,cg20646782,cg20646782,,,
,cg24136700,cg24136700,,,
,cg11826008,cg11826008,,,
,cg25220979,cg25220979,,,
,cg19303125,cg19303125,,,
,cg10785793,cg10785793,,,
,cg04353106,cg04353106,,,
,cg12332524,cg12332524,,,
,cg19478079,cg19478079,,,
,cg25600472,cg25600472,,,
,cg25597117,cg25597117,,,
,cg22824895,cg22824895,,,
,cg19097500,cg19097500,,,
,cg24372256,cg24372256,,,
,cg00977696,cg00977696,,,
,cg16780603,cg16780603,,,
,cg25215890,cg25215890,,,
,cg01563465,cg01563465,,,
,cg07007382,cg07007382,,,
,cg02578470,cg02578470,,,
,cg03044573,cg03044573,,,
,cg01456609,cg01456609,,,
,cg09278098,cg09278098,,,
,cg11891377,cg11891377,,,
,cg04354002,cg04354002,,,
,cg10886095,cg10886095,,,
,cg07945582,cg07945582,,,
,cg00533364,cg00533364,,,
,cg23263057,cg23263057,,,
,cg18917643,cg18917643,,,
,cg02764478,cg02764478,,,
,cg16535752,cg16535752,,,
,cg06395298,cg06395298,,,
,cg07504977,cg07504977,,,
,cg00105640,cg00105640,,,
,cg20784813,cg20784813,,,
,cg14264795,cg14264795,,,
,cg10005565,cg10005565,,,
,cg21523688,cg21523688,,,
,cg18034719,cg18034719,,,
,cg26365742,cg26365742,,,
,cg09310185,cg09310185,,,
,cg16032621,cg16032621,,,
,cg01253818,cg01253818,,,
,cg15117681,cg15117681,,,
,cg01781662,cg01781662,,,
,cg14400871,cg14400871,,,
,cg08744475,cg08744475,,,
,cg08655800,cg08655800,,,
,cg06885459,cg06885459,,,
,cg13689996,cg13689996,,,
,cg05820959,cg05820959,,,
,cg25131544,cg25131544,,,
,cg14887142,cg14887142,,,
,cg11589723,cg11589723,,,
,cg11152412,cg11152412,,,
,cg23686174,cg23686174,,,
,cg24378421,cg24378421,,,
,cg24694018,cg24694018,,,
,cg17292667,cg17292667,,,
,cg09474229,cg09474229,,,
,cg14476101,cg14476101,,,
,cg12256309,cg12256309,,,
,cg00654448,cg00654448,,,
,cg12931523,cg12931523,,,
,cg06205333,cg06205333,,,
,cg23883632,cg23883632,,,
,cg10521711,cg10521711,,,
,cg07120369,cg07120369,,,
,cg07613512,cg07613512,,,
,cg03494692,cg03494692,,,
,cg06644515,cg06644515,,,
,cg01831404,cg01831404,,,
,cg18418457,cg18418457,,,
,cg07760544,cg07760544,,,
,cg18323589,cg18323589,,,
,cg00250743,cg00250743,,,
,cg04689720,cg04689720,,,
,cg14724265,cg14724265,,,
,cg00252472,cg00252472,,,
,cg02315113,cg02315113,,,
,cg05957749,cg05957749,,,
,cg13607709,cg13607709,,,
,cg00372249,cg00372249,,,
,cg25394109,cg25394109,,,
,cg07364729,cg07364729,,,
,cg05682581,cg05682581,,,
,cg05375443,cg05375443,,,
,cg08303283,cg08303283,,,
,cg02215171,cg02215171,,,
,cg15239904,cg15239904,,,
,cg14868212,cg14868212,,,
,cg15995251,cg15995251,,,
,cg06656958,cg06656958,,,
,cg16719404,cg16719404,,,
,cg21164967,cg21164967,,,
,cg20970369,cg20970369,,,
,cg12479507,cg12479507,,,
,cg19433341,cg19433341,,,
,cg19805377,cg19805377,,,
,cg13571479,cg13571479,,,
,cg06942904,cg06942904,,,
,cg05188549,cg05188549,,,
,cg06550629,cg06550629,,,
,cg04848686,cg04848686,,,
,cg21507807,cg21507807,,,
,cg00661523,cg00661523,,,
,cg10728351,cg10728351,,,
,cg03004330,cg03004330,,,
,cg14384960,cg14384960,,,
,cg00440217,cg00440217,,,
,cg02650017,cg02650017,,,
,cg04384810,cg04384810,,,
,cg18638118,cg18638118,,,
,cg01235659,cg01235659,,,
,cg14888296,cg14888296,,,
,cg00614805,cg00614805,,,
,cg17593342,cg17593342,,,
,cg03020863,cg03020863,,,
,cg13713821,cg13713821,,,
,cg04681845,cg04681845,,,
,cg20348000,cg20348000,,,
,cg13726887,cg13726887,,,
,cg01465177,cg01465177,,,
,cg25146268,cg25146268,,,
,cg19235974,cg19235974,,,
,cg04109349,cg04109349,,,
,cg00294109,cg00294109,,,
,cg08986840,cg08986840,,,
,cg02840697,cg02840697,,,
,cg21152981,cg21152981,,,
,cg02000275,cg02000275,,,
,cg13010497,cg13010497,,,
,cg16254946,cg16254946,,,
,cg11630152,cg11630152,,,
,cg11865119,cg11865119,,,
,cg10306703,cg10306703,,,
,cg18082515,cg18082515,,,
,cg01777586,cg01777586,,,
,cg15169265,cg15169265,,,
,cg22688815,cg22688815,,,
,cg20705392,cg20705392,,,
,cg27531336,cg27531336,,,
,cg05668853,cg05668853,,,
,cg05866737,cg05866737,,,
,cg08644045,cg08644045,,,
,cg23399222,cg23399222,,,
,cg04470499,cg04470499,,,
,cg15116095,cg15116095,,,
,cg11808936,cg11808936,,,
,cg20640246,cg20640246,,,
,cg11836212,cg11836212,,,
,cg00422488,cg00422488,,,
,cg09397087,cg09397087,,,
,cg22994830,cg22994830,,,
,cg16113793,cg16113793,,,
,cg27586378,cg27586378,,,
,cg10219850,cg10219850,,,
,cg20560862,cg20560862,,,
,cg07502661,cg07502661,,,
,cg13487127,cg13487127,,,
,cg26146287,cg26146287,,,
,cg16113793,cg15970375,,,
,cg15970375,cg01503881,,,
,cg16057915,cg08174504,,,
,cg01503881,cg19613400,,,
,cg02650017,cg08033031,,,
,cg08174504,cg27078522,,,
,cg19613400,cg15804767,,,
,cg15537269,cg27118035,,,
,cg08033031,cg05926784,,,
,cg27078522,cg24011637,,,
,cg15804767,cg16298547,,,
,cg27118035,cg05322916,,,
,cg03440556,cg15348839,,,
,cg05926784,cg20060185,,,
,cg24011637,cg10747118,,,
,cg25215890,cg00107782,,,
,cg16298547,cg17301216,,,
,cg05322916,cg22857025,,,
,cg10785793,cg26516004,,,
,cg15348839,cg21376883,,,
,cg20060185,cg13215995,,,
,cg10747118,cg11145772,,,
,cg02402946,cg15020732,,,
,cg00107782,cg11745092,,,
,cg17301216,cg04900872,,,
,cg22857025,cg17132148,,,
,cg27020362,cg13676763,,,
,cg26516004,cg07872373,,,
,cg21376883,cg27530704,,,
,cg13215995,cg08619102,,,
,cg11145772,cg13690280,,,
,cg15020732,cg22904711,,,
,cg11745092,cg16145216,,,
,cg04900872,cg01225779,,,
,cg17132148,cg18199434,,,
,cg23263057,cg24713122,,,
,cg13676763,cg22378459,,,
,cg07872373,cg24748746,,,
,cg27530704,cg00356499,,,
,cg08619102,cg10941445,,,
,cg13690280,cg20115802,,,
,cg22904711,cg06982805,,,
,cg16145216,cg07279557,,,
,cg01225779,cg05922723,,,
,cg18199434,cg24060527,,,
,cg24713122,cg25477813,,,
,cg22378459,cg16453901,,,
,cg24748746,cg14107488,,,
,cg00356499,cg23305365,,,
,cg10941445,cg15632936,,,
,cg16340422,cg12500951,,,
,cg20115802,cg18805182,,,
,cg06982805,cg00829990,,,
,cg07279557,cg14728380,,,
,cg05922723,cg04794430,,,
,cg24060527,cg07178550,,,
,cg25477813,cg00052433,,,
,cg18349022,cg06135765,,,
,cg16453901,cg27619353,,,
,cg21261158,cg18996808,,,
,cg16111924,cg14330293,,,
,cg14107488,cg08793894,,,
,cg23305365,cg01756461,,,
,cg15632936,cg19349369,,,
,cg27526518,cg18538958,,,
,cg12500951,cg10071690,,,
,cg03497652,cg07907506,,,
,cg18805182,cg00495693,,,
,cg00829990,cg16315334,,,
,cg14728380,cg00650795,,,
,cg04794430,cg24647820,,,
,cg07178550,cg02756939,,,
,cg00052433,cg24246705,,,
,cg06135765,cg23934351,,,
,cg27619353,cg06871736,,,
,cg18996808,cg18229196,,,
,cg14330293,cg07014020,,,
,cg20705392,cg17681447,,,
,cg08793894,cg21809155,,,
,cg01756461,cg07482451,,,
,cg19349369,cg13105766,,,
,cg02215171,cg18032812,,,
,cg26821196,cg20169823,,,
,cg18538958,cg25256099,,,
,cg10071690,cg24517323,,,
,cg07907506,cg17740434,,,
,cg00495693,cg23771956,,,
,cg16315334,cg17275074,,,
,cg00650795,cg23365097,,,
,cg24647820,cg06091647,,,
,cg02756939,cg12394168,,,
,cg24246705,cg00791851,,,
,cg23934351,cg18697348,,,
,cg06871736,cg09074113,,,
,cg18229196,cg11637682,,,
,cg07014020,cg25312970,,,
,cg17681447,cg02403541,,,
,cg21809155,cg24672014,,,
,cg07482451,cg16536016,,,
,cg27531336,cg21075784,,,
,cg13105766,cg19311244,,,
,cg18032812,cg27370573,,,
,cg20169823,cg15971496,,,
,cg25256099,cg00697672,,,
,cg24517323,cg00559635,,,
,cg17740434,cg11925263,,,
,cg23771956,cg10725227,,,
,cg17275074,cg26840770,,,
,cg23365097,cg16898124,,,
,cg06091647,cg21897425,,,
,cg12394168,cg18065160,,,
,cg00791851,cg07984380,,,
,cg18697348,cg24002003,,,
,cg22451356,cg03755052,,,
,cg09074113,cg18859248,,,
,cg05864010,cg17686487,,,
,cg11637682,cg18477429,,,
,cg25312970,cg03934392,,,
,cg02403541,cg10063805,,,
,cg24672014,cg00077898,,,
,cg16536016,cg26939539,,,
,cg21075784,cg08362206,,,
,cg19311244,cg00296005,,,
,cg27088726,cg25164957,,,
,cg27370573,cg23817169,,,
,cg15971496,cg04306069,,,
,cg14724265,cg04754615,,,
,cg00697672,cg07878951,,,
,cg00559635,cg22542663,,,
,cg11925263,cg24003749,,,
,cg10725227,cg20495964,,,
,cg26840770,cg01069043,,,
,cg10680180,cg00974579,,,
,cg16898124,cg07327178,,,
,cg21897425,cg07774964,,,
,cg18065160,cg22347357,,,
,cg07984380,cg27223728,,,
,cg24002003,cg26543232,,,
,cg20589883,cg11717597,,,
,cg03755052,cg23522872,,,
,cg18859248,cg12789884,,,
,cg17686487,cg04386759,,,
,cg18477429,cg23320965,,,
,cg03934392,cg00851732,,,
,cg10063805,cg11147919,,,
,cg00077898,cg14255617,,,
,cg26939539,cg11013726,,,
,cg08362206,cg05384724,,,
,cg00296005,cg14033514,,,
,cg25164957,cg14573833,,,
,cg08173263,cg06475503,,,
,cg23817169,cg27488007,,,
,cg04306069,cg18105725,,,
,cg04754615,cg10099651,,,
,cg07878951,cg01412762,,,
,cg01777586,cg12607287,,,
,cg22542663,cg05302350,,,
,cg24003749,cg09812376,,,
,cg20495964,cg14993900,,,
,cg01069043,cg05705018,,,
,cg00974579,cg11260046,,,
,cg07327178,cg01097406,,,
,cg07774964,cg10890233,,,
,cg22347357,cg06846976,,,
,cg27223728,cg08614290,,,
,cg26543232,cg17001448,,,
,cg11717597,cg07218647,,,
,cg23522872,cg22563815,,,
,cg22629375,cg16081457,,,
,cg12789884,cg26393629,,,
,cg04386759,cg07984212,,,
,cg23320965,cg25598710,,,
,cg00851732,cg23979412,,,
,cg11147919,cg07139284,,,
,cg14255617,cg22200633,,,
,cg11013726,cg26502666,,,
,cg05384724,cg16856874,,,
,cg14033514,cg05085169,,,
,cg14573833,cg06698575,,,
,cg06475503,cg22388653,,,
,cg27488007,cg06618935,,,
,cg18105725,cg25868831,,,
,cg10099651,cg09068086,,,
,cg01412762,cg09953499,,,
,cg12607287,cg13700458,,,
,cg05302350,cg23601030,,,
,cg09812376,cg01124477,,,
,cg14993900,cg10271272,,,
,cg05705018,cg04798314,,,
,cg13498289,cg12571629,,,
,cg11260046,cg04332619,,,
,cg01097406,cg17886420,,,
,cg18854004,cg22237668,,,
,cg10890233,cg06484146,,,
,cg06846976,cg19090533,,,
,cg08614290,cg24421094,,,
,cg17001448,cg03814644,,,
,cg07218647,cg14514581,,,
,cg22563815,cg16117554,,,
,cg16081457,cg03345116,,,
,cg26393629,cg16071219,,,
,cg07984212,cg04832325,,,
,cg25598710,cg07942273,,,
,cg23979412,cg02057943,,,
,cg07139284,cg13705894,,,
,cg22200633,cg01144436,,,
,cg07021906,cg20154457,,,
,cg26502666,cg08065229,,,
,cg16856874,cg03606898,,,
,cg05085169,cg26546113,,,
,cg06698575,cg14578009,,,
,cg22388653,cg12770414,,,
,cg06618935,cg19155391,,,
,cg25868831,cg14846292,,,
,cg09068086,cg01018002,,,
,cg09953499,cg04222728,,,
,cg13700458,cg10811340,,,
,cg23601030,cg15949805,,,
,cg01124477,cg16716449,,,
,cg10271272,cg16269733,,,
,cg04798314,cg05512483,,,
,cg12571629,cg10820084,,,
,cg04332619,cg11631271,,,
,cg17886420,cg18824446,,,
,cg26203136,cg01268824,,,
,cg22237668,cg07962338,,,
,cg06484146,cg23912081,,,
,cg19090533,cg09603829,,,
,cg24421094,cg24943459,,,
,cg03814644,cg03877680,,,
,cg14514581,cg06382559,,,
,cg16117554,cg07686916,,,
,cg03345116,cg18209359,,,
,cg16071219,cg18676053,,,
,cg04832325,cg07471256,,,
,cg07942273,cg09798888,,,
,cg02057943,cg08509907,,,
,cg07599786,cg12012426,,,
,cg13705894,cg18989085,,,
,cg01144436,cg23466060,,,
,cg20154457,cg08746254,,,
,cg08065229,cg17641566,,,
,cg03606898,cg22257786,,,
,cg26546113,cg27089768,,,
,cg06898549,cg08291996,,,
,cg14578009,cg19142181,,,
,cg12770414,cg05839365,,,
,cg00422488,cg12924302,,,
,cg19155391,cg02088470,,,
,cg14846292,cg13519184,,,
,cg01018002,cg05152974,,,
,cg04222728,cg25414165,,,
,cg21594961,cg09233429,,,
,cg10811340,cg24733530,,,
,cg15949805,cg22416596,,,
,cg16716449,cg15725440,,,
,cg16269733,cg20648369,,,
,cg05512483,cg21354781,,,
,cg10820084,cg10631284,,,
,cg11631271,cg23152235,,,
,cg18147098,cg16345566,,,
,cg18824446,cg13231384,,,
,cg01268824,cg10543947,,,
,cg07962338,cg04872675,,,
,cg23912081,cg22233844,,,
,cg09603829,cg14754713,,,
,cg24943459,cg08557624,,,
,cg03877680,cg12704673,,,
,cg06382559,cg09652086,,,
,cg07686916,cg04851639,,,
,cg18209359,cg26112661,,,
,cg18676053,cg09788416,,,
,cg07471256,cg01656216,,,
,cg09798888,cg13051700,,,
,cg08509907,cg11018337,,,
,cg12641240,cg12894711,,,
,cg12012426,cg15544596,,,
,cg18989085,cg24838949,,,
,cg23466060,cg26418147,,,
,cg08746254,cg13735453,,,
,cg06447614,cg26038190,,,
,cg17641566,cg26529300,,,
,cg18007837,cg03594801,,,
,cg22257786,cg08806184,,,
,cg11613559,cg23853026,,,
,cg27089768,cg09142578,,,
,cg08291996,cg14978307,,,
,cg19142181,cg01176516,,,
,cg14078235,cg18701685,,,
,cg05839365,cg03681341,,,
,cg12924302,cg17693669,,,
,cg02088470,cg00116658,,,
,cg13519184,cg06624358,,,
,cg05152974,cg04398983,,,
,cg25414165,cg22748740,,,
,cg09233429,cg11860434,,,
,cg24733530,cg04203853,,,
,cg22416596,cg21154793,,,
,cg15725440,cg20723436,,,
,cg20648369,cg05530630,,,
,cg10306703,cg03074663,,,
,cg21354781,cg10729312,,,
,cg10631284,cg00584000,,,
,cg23152235,cg08324152,,,
,cg16345566,cg16389456,,,
,cg13231384,cg05804170,,,
,cg10543947,cg19335436,,,
,cg13221899,cg27427581,,,
,cg04872675,cg12461469,,,
,cg22233844,cg00622375,,,
,cg14754713,cg01895890,,,
,cg08557624,cg18495484,,,
,cg12704673,cg23272399,,,
,cg09652086,cg06223736,,,
,cg04851639,cg18315834,,,
,cg26112661,cg25446604,,,
,cg09788416,cg03431111,,,
,cg01656216,cg07544038,,,
,cg13051700,cg02365514,,,
,cg11018337,cg02847185,,,
,cg12894711,cg23051792,,,
,cg15544596,cg00220102,,,
,cg16260349,cg06368590,,,
,cg05516505,cg09901532,,,
,cg24838949,cg05042743,,,
,cg26418147,cg06442240,,,
,cg13735453,cg07949597,,,
,cg26038190,cg20513447,,,
,cg11363234,cg24717024,,,
,cg08870587,cg17464436,,,
,cg26529300,cg21235078,,,
,cg03594801,cg02583484,,,
,cg08806184,cg26487157,,,
,cg23853026,cg12069540,,,
,cg09142578,cg11376147,,,
,cg02578470,cg07201996,,,
,cg14978307,cg27043159,,,
,cg19862899,cg05655953,,,
,cg01176516,cg22975318,,,
,cg18701685,cg21803245,,,
,cg16834011,cg04745997,,,
,cg03681341,cg14071612,,,
,cg17693669,cg15831060,,,
,cg00116658,cg06938101,,,
,cg06624358,cg26615853,,,
,cg04398983,cg08080174,,,
,cg22748740,cg17315500,,,
,cg11860434,cg20375320,,,
,cg10474597,cg00332153,,,
,cg04203853,cg21053741,,,
,cg21154793,cg04651583,,,
,cg10008970,cg25115993,,,
